,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
250,0.54,0.612,1,-10.683,0,0.442,0.0303,0,0.664,0.472,118.844,267624,2017,0
251,0.563,0.77,11,-12.877,1,0.296,0.537,5.62E-06,0.24,0.696,86.902,229146,2017,0
252,0.644,0.767,10,-3.703,0,0.373,0.418,0,0.461,0.847,111.813,315716,2017,0
253,0.491,0.266,6,-15.626,1,0.0945,0.596,0,0.169,0.368,59.122,215144,2017,0
254,0.782,0.693,5,-5.748,1,0.0332,0.0333,0.000406,0.0826,0.719,94.06,147174,2017,0
255,0.521,0.799,9,-6.183,0,0.284,0.109,0,0.0562,0.821,102.327,302602,2017,0
256,0.579,0.839,10,-7.232,0,0.306,0.0662,0,0.0622,0.724,93.524,114077,2017,0
257,0.504,0.884,10,-7.311,0,0.401,0.229,0,0.503,0.932,81.144,202240,2017,0
258,0.467,0.391,1,-13.537,1,0.101,0.715,0.00029,0.103,0.178,137.077,257724,2017,0
259,0.748,0.545,1,-12.276,1,0.482,0.31,0,0.0859,0.851,77.125,127817,2017,0
260,0.733,0.715,1,-5.614,1,0.261,0.142,0,0.106,0.869,92.933,311536,2017,0
261,0.617,0.931,8,-6.053,0,0.329,0.124,0,0.176,0.394,87.593,218384,2017,0
262,0.736,0.842,3,-6.361,1,0.24,0.0928,0,0.266,0.723,116.016,339879,2017,0
263,0.498,0.861,2,-2.495,1,0.248,0.00591,0,0.0898,0.23,92.022,274364,2017,0
264,0.467,0.813,1,-5.026,1,0.15,0.023,0,0.362,0.478,141.757,355004,2017,0
265,0.314,0.899,6,-4,0,0.395,0.00934,0,0.0959,0.859,76.93,310936,2017,0
266,0.844,0.637,1,-3.136,0,0.0926,0.203,2.74E-05,0.0791,0.812,97.967,227000,2008,0
