danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539,1978,63
0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,1978,15
0.741,0.631,2,-9.502,1,0.0638,0.622,7.10E-05,0.0762,0.645,124.333,1978,61
0.58,0.838,8,-10.467,1,0.1,0.132,0.0344,0.0985,0.917,159.937,1978,56
0.7,0.463,10,-11.714,1,0.0427,0.366,0.000158,0.12,0.626,109.433,1978,50
0.597,0.96,11,-3.989,1,0.042,0.169,2.89E-05,0.105,0.937,163.017,1978,67
0.494,0.698,6,-12.049,0,0.0553,0.0397,0.00634,0.152,0.778,95.842,1978,77
0.459,0.714,2,-10.001,1,0.0414,0.209,0.00557,0.178,0.334,135.783,1978,49
0.608,0.746,0,-8.851,1,0.354,0.026,2.39E-06,0.043,0.745,134.03,1978,25
0.518,0.582,7,-8.407,1,0.152,0.0163,1.54E-06,0.0836,0.697,77.737,1978,11
0.745,0.782,2,-5.324,0,0.303,0.0628,0.000359,0.0547,0.918,142.019,1978,2
0.341,0.674,2,-7.643,1,0.0492,0.0416,5.47E-06,0.345,0.452,88.933,1978,68
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,1978,85
0.601,0.643,2,-5.828,1,0.0314,0.112,0.00209,0.088,0.552,128.262,1979,70
0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,1979,75
0.712,0.678,11,-8.085,0,0.206,0.000505,0.486,0.0833,0.899,129.875,1979,51
0.412,0.856,6,-5.337,1,0.0615,0.00472,0.00447,0.371,0.851,126.011,1979,43
0.466,0.588,5,-10.666,0,0.0812,0.285,9.94E-06,0.0535,0.882,156.131,1979,59
0.747,0.492,10,-9.616,1,0.04,0.0163,0.00897,0.224,0.533,119.531,1979,64
0.526,0.555,9,-8.08,1,0.0338,0.701,6.69E-06,0.299,0.38,84.088,1979,57
0.722,0.859,7,-5.706,1,0.036,0.153,4.39E-05,0.0586,0.973,135.628,1979,46
0.834,0.496,0,-13.653,1,0.0597,0.501,3.07E-06,0.0449,0.944,138.791,1979,71
